table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
".Mohave County, Arizona","220,905","223,682",1.26
".Navajo County, Arizona","108,800","109,175",0.34
".Pima County, Arizona","1,057,476","1,063,162",0.54
".Pinal County, Arizona","465,037","484,239",4.13
".Santa Cruz County, Arizona","48,680","49,158",0.98
".Yavapai County, Arizona","246,230","249,081",1.16
".Yuma County, Arizona","208,874","213,221",2.08
".Arkansas County, Arkansas","16,498","16,307",-1.16
".Ashley County, Arkansas","18,348","18,262",-0.47
".Baxter County, Arkansas","42,485","42,875",0.92
".Benton County, Arkansas","302,822","311,013",2.70
".Boone County, Arkansas","38,280","38,530",0.65
".Bradley County, Arkansas","10,168","10,104",-0.63
".Calhoun County, Arkansas","4,687","4,641",-0.98
".Carroll County, Arkansas","28,717","28,814",0.34
".Chicot County, Arkansas","9,834","9,538",-3.01
".Clark County, Arkansas","21,276","21,274",-0.01
".Clay County, Arkansas","14,271","14,201",-0.49
".Cleburne County, Arkansas","25,253","25,445",0.76
".Cleveland County, Arkansas","7,467","7,378",-1.19
".Columbia County, Arkansas","22,286","22,150",-0.61
".Conway County, Arkansas","21,021","21,077",0.27
".Craighead County, Arkansas","112,863","113,993",1.00
".Crawford County, Arkansas","61,041","61,891",1.39
".Crittenden County, Arkansas","47,051","47,139",0.19
".Cross County, Arkansas","16,590","16,420",-1.02
".Dallas County, Arkansas","6,196","6,185",-0.18
".Desha County, Arkansas","10,758","10,479",-2.59
".Drew County, Arkansas","16,912","16,945",0.20
".Faulkner County, Arkansas","127,565","129,951",1.87
".Franklin County, Arkansas","17,270","17,468",1.15
".Fulton County, Arkansas","12,355","12,421",0.53
".Garland County, Arkansas","99,982","99,784",-0.20
".Grant County, Arkansas","18,129","18,383",1.40
".Greene County, Arkansas","46,408","46,743",0.72
".Hempstead County, Arkansas","19,481","19,343",-0.71
".Hot Spring County, Arkansas","33,149","33,258",0.33
".Howard County, Arkansas","12,622","12,533",-0.71
".Independence County, Arkansas","38,254","38,320",0.17
".Izard County, Arkansas","14,029","14,169",1.00
".Jackson County, Arkansas","16,654","16,784",0.78
".Jefferson County, Arkansas","64,295","63,661",-0.99
".Johnson County, Arkansas","25,970","26,129",0.61
".Lafayette County, Arkansas","6,129","6,095",-0.55
".Lawrence County, Arkansas","16,194","16,318",0.77
".Lee County, Arkansas","8,367","8,201",-1.98
".Lincoln County, Arkansas","12,910","12,898",-0.09
".Little River County, Arkansas","11,865","11,805",-0.51
".Logan County, Arkansas","21,258","21,400",0.67
".Lonoke County, Arkansas","75,199","75,944",0.99
".Madison County, Arkansas","17,463","17,775",1.79
".Marion County, Arkansas","17,289","17,514",1.30
".Miller County, Arkansas","42,608","42,415",-0.45
".Mississippi County, Arkansas","38,863","38,663",-0.51
".Monroe County, Arkansas","6,568","6,512",-0.85
".Montgomery County, Arkansas","8,543","8,620",0.90
".Nevada County, Arkansas","8,179","8,120",-0.72
".Newton County, Arkansas","7,101","7,071",-0.42
